step,avg_sinr,total_throughput,handover_count,coverage,regret,avg_load,cell_edge_rate,outage_prob,pingpong_rate,drone_handover_reduction,drone_positions,drone_rewards,avg_battery_pct,drones_active,drones_charging,drones_rtb,total_energy_consumed_wh,fleet_efficiency
182,20.292088048866837,3145395.854347985,0,81.0,-488603.65293351986,10.0,769.6528413533595,0.0,0,100.0,"[(np.float64(479.86904599446063), np.float64(827.1134188790431), np.float64(98.64294786055025)), (np.float64(2445.2518930776964), np.float64(290.6458510620091), np.float64(112.90417659642621)), (np.float64(918.3921006684009), np.float64(1888.6559267539467), np.float64(49.9886877024439)), (np.float64(2408.8173873031974), np.float64(1547.7113468919263), np.float64(150.0)), (np.float64(1645.996679096812), np.float64(1868.7414549359473), np.float64(30.0)), (np.float64(2095.6622023561717), np.float64(286.4128943362043), np.float64(30.0))]",-0.973985588242345,0.7533543269579326,6,0,0,1.4069602430804773,620.9991184535851
183,20.273955386095988,3199901.80157838,30,81.0,-491659.0047350982,10.0,739.805211410304,0.0,103.33333333333334,5.511811023622048,"[(np.float64(484.46084091538944), np.float64(820.7938348718496), np.float64(108.31694909427755)), (np.float64(2441.3365222089687), np.float64(286.21268562873956), np.float64(108.99806119298502)), (np.float64(915.3433282622157), np.float64(1887.0923736505918), np.float64(51.94899357949151)), (np.float64(2405.1968719867486), np.float64(1539.739112346632), np.float64(147.40169340538398)), (np.float64(1650.3436183507447), np.float64(1856.7391394854556), np.float64(30.0)), (np.float64(2096.3763490668293), np.float64(283.63407603872304), np.float64(30.0))]",-0.973985588242345,0.7528816119498881,6,0,0,1.4181450241328994,626.7776542057321
184,21.709593320418982,3595460.2814770755,140,86.66666666666667,-495102.3150165753,10.0,1162.7204480216044,0.0,110.00000000000001,-340.9448818897638,"[(np.float64(487.7135577370651), np.float64(820.5533878337537), np.float64(114.11561192592798)), (np.float64(2435.062127261976), np.float64(277.30650634805403), np.float64(108.87774510193996)), (np.float64(920.6797255362688), np.float64(1888.3341590463465), np.float64(47.673097640228015)), (np.float64(2405.191961974475), np.float64(1529.479623389308), np.float64(150.0)), (np.float64(1648.908933915083), np.float64(1862.269675117189), np.float64(30.0)), (np.float64(2097.304819185117), np.float64(273.51143716036097), np.float64(30.0))]",-0.973985588242345,0.7524101966292361,6,0,0,1.414245961956498,706.1989172627997
185,21.211672064092795,3467401.46131304,0,83.0,-498428.41647788824,10.0,1162.7204480216044,0.0,0,100.0,"[(np.float64(489.8859275583104), np.float64(820.1934232134226), np.float64(121.29048144935453)), (np.float64(2431.2616976668564), np.float64(279.6106791330553), np.float64(117.08110350296693)), (np.float64(919.9369637900164), np.float64(1878.4252849990676), np.float64(45.214158280646956)), (np.float64(2401.059937147464), np.float64(1523.0898709796863), np.float64(150.0)), (np.float64(1657.7385896962496), np.float64(1857.2103410286645), np.float64(30.0)), (np.float64(2084.212258947965), np.float64(271.106618088258), np.float64(30.0))]",-0.973985588242345,0.7519359163406919,6,0,0,1.4228408656325817,676.9323933908382
186,21.20956150934709,3466212.4125799704,0,83.0,-501753.3288904682,10.0,1162.7204480216044,0.0,0,100.0,"[(np.float64(478.783114049715), np.float64(821.0089765054457), np.float64(118.80104069433246)), (np.float64(2423.967165317619), np.float64(267.2663555252385), np.float64(121.99016031931026)), (np.float64(917.8571519668759), np.float64(1873.4479284824363), np.float64(46.96634505001412)), (np.float64(2400.9315201406357), np.float64(1517.5598535739668), np.float64(150.0)), (np.float64(1667.2993983051185), np.float64(1850.4681985341279), np.float64(30.0)), (np.float64(2089.8228202657438), np.float64(272.7359509503721), np.float64(30.219378460189706))]",-0.973985588242345,0.7514638176661755,6,0,0,1.416296023548736,679.8273561904707
187,21.206551105976942,3464948.06601739,0,83.0,-505076.97695648565,10.0,1162.7204480216044,0.0,0,100.0,"[(np.float64(473.8553675540146), np.float64(824.9423490386995), np.float64(123.80524162150894)), (np.float64(2418.6159298149955), np.float64(268.89437528484626), np.float64(125.8708193718388)), (np.float64(917.4118307829231), np.float64(1874.2011043319526), np.float64(41.29982406495194)), (np.float64(2404.993405964907), np.float64(1510.2534682852443), np.float64(150.0)), (np.float64(1674.86195840792), np.float64(1847.7133347441172), np.float64(30.0)), (np.float64(2090.551710612065), np.float64(263.50840073652313), np.float64(30.0))]",-0.973985588242345,0.7509935243467637,6,0,0,1.4108799582356926,682.1881395900676
188,21.31346739009153,3457751.3495509974,30,83.0,-508390.4783060367,10.0,1162.7204480216044,0.0,100.0,5.511811023622048,"[(np.float64(464.49756577548874), np.float64(821.2429117392692), np.float64(117.54333139562564)), (np.float64(2417.541063709337), np.float64(268.4144925690375), np.float64(120.17868068120971)), (np.float64(924.5782835424881), np.float64(1879.4754262494039), np.float64(33.855326872198994)), (np.float64(2404.79407153805), np.float64(1514.2996120461453), np.float64(148.5055806302693)), (np.float64(1682.14271350588), np.float64(1837.856849802892), np.float64(30.0)), (np.float64(2086.1913750443805), np.float64(261.77202892607386), np.float64(33.70437700148512))]",-0.973985588242345,0.7505179322081065,6,0,0,1.4267764159721874,673.1864048453062
189,21.797210993981945,3550480.2225089697,133,87.66666666666667,-511788.7585285456,10.0,1162.7204480216044,0.0,113.53383458646617,-318.89763779527556,"[(np.float64(463.994996748583), np.float64(822.7443724170244), np.float64(118.73775334077422)), (np.float64(2413.0966043183444), np.float64(270.7546713395287), np.float64(125.46025481747614)), (np.float64(929.8905361302126), np.float64(1879.9507202708662), np.float64(33.49814117872093)), (np.float64(2398.3867352182647), np.float64(1516.878868817061), np.float64(150.0)), (np.float64(1687.60862392882), np.float64(1829.8127759406266), np.float64(30.0)), (np.float64(2084.310518978463), np.float64(261.2303227452914), np.float64(30.0))]",-0.973985588242345,0.7500511036755307,6,0,0,1.40048559772726,704.2161003676094
190,20.51524918462381,3088379.540071979,0,82.33333333333334,-514735.5880686176,10.0,1162.7204480216044,0.0,0,100.0,"[(np.float64(462.83428640532827), np.float64(819.4936534127214), np.float64(114.27540339878283)), (np.float64(2409.17698673305), np.float64(266.1495733662509), np.float64(126.04250446361505)), (np.float64(939.4095500879316), np.float64(1878.493106664938), np.float64(30.0)), (np.float64(2398.808934129309), np.float64(1523.2585949811955), np.float64(150.0)), (np.float64(1702.60862392882), np.float64(1814.8127759406266), np.float64(30.0)), (np.float64(2079.3727148749467), np.float64(262.60434931577765), np.float64(32.140949881632906))]",-1.0007035397520196,0.7495789738189352,6,0,0,1.416389569786408,605.6830859781882
191,20.513426374166194,3087491.2513750424,0,82.33333333333334,-517681.52931999264,10.0,1162.7204480216044,0.0,0,100.0,"[(np.float64(459.9646696306523), np.float64(815.372491774898), np.float64(110.70823203524554)), (np.float64(2414.6510821047345), np.float64(257.4756213156836), np.float64(128.95544695785102)), (np.float64(937.0742376640854), np.float64(1874.146689653053), np.float64(30.0)), (np.float64(2404.404230270826), np.float64(1524.3314092560631), np.float64(148.89488428742877)), (np.float64(1712.7074656214709), np.float64(1811.4004403865652), np.float64(33.114351771442706)), (np.float64(2080.634905005369), np.float64(253.47752191264726), np.float64(30.0))]",-1.0007035397520196,0.7491075337337981,6,0,0,1.4143202554109522,606.3948072822378
192,20.51241170012446,3086878.642391214,0,82.33333333333334,-520626.8579623839,10.0,1162.7204480216044,0.0,0,100.0,"[(np.float64(452.6779812778396), np.float64(820.0390838156468), np.float64(118.28794249643228)), (np.float64(2414.3242041060894), np.float64(260.8959560306808), np.float64(126.17590941105341)), (np.float64(942.8943556935722), np.float64(1873.3717537917541), np.float64(30.0)), (np.float64(2402.992046373692), np.float64(1526.4595433598406), np.float64(150.0)), (np.float64(1718.884238176377), np.float64(1801.6991167211272), np.float64(30.0)), (np.float64(2083.6329185411105), np.float64(250.8314315971756), np.float64(30.0))]",-1.0007035397520196,0.7486380026898107,6,0,0,1.4085931319623284,608.7395075954744
193,20.61640514828169,3087431.3568525705,33,82.33333333333334,-523569.58931923646,10.0,1162.7204480216044,0.0,100.0,-3.937007874015741,"[(np.float64(454.50953720431875), np.float64(824.2855445445548), np.float64(117.38712770868258)), (np.float64(2412.4171198965655), np.float64(252.93915250991648), np.float64(118.13943186633674)), (np.float64(942.0556732785227), np.float64(1868.7064282786355), np.float64(30.0)), (np.float64(2397.8469287532657), np.float64(1530.843600007117), np.float64(149.87873201887157)), (np.float64(1721.9382728425824), np.float64(1792.2251210918146), np.float64(30.0)), (np.float64(2086.7719743778425), np.float64(251.87225533621503), np.float64(35.497639588350246))]",-1.0007035397520196,0.7481680504666212,6,0,0,1.4098566695687642,608.3028437282624
194,20.513499311632277,3370382.7313239803,137,84.33333333333334,-526787.6720505605,10.0,1162.7204480216044,0.0,116.05839416058394,-331.49606299212604,"[(np.float64(449.6330026361655), np.float64(817.333728382603), np.float64(118.27588149416316)), (np.float64(2408.9553625687845), np.float64(243.427635648294), np.float64(118.09704638429314)), (np.float64(944.2525568658823), np.float64(1868.666856865101), np.float64(30.0)), (np.float64(2404.900596254381), np.float64(1527.4781694687902), np.float64(150.0)), (np.float64(1728.366462697259), np.float64(1784.210059698084), np.float64(30.0)), (np.float64(2078.517512475178), np.float64(249.94942980221836), np.float64(50.497639588350246))]",-1.0007035397520196,0.747694681012255,6,0,0,1.420108363098258,659.2577367301898
195,20.271819343451977,3402050.960359245,1,81.0,-530048.1230109197,10.0,1162.7204480216044,0.0,100.0,96.85039370078741,"[(np.float64(457.7089135908406), np.float64(804.3985121910736), np.float64(109.30833598905552)), (np.float64(2410.719152303337), np.float64(231.16087897468805), np.float64(109.84965654479157)), (np.float64(947.720108451266), np.float64(1860.653989748963), np.float64(30.948433180627195)), (np.float64(2403.399102755901), np.float64(1521.3002647124265), np.float64(150.0)), (np.float64(1735.8122770542157), np.float64(1784.9174942912875), np.float64(30.0)), (np.float64(2075.826844064448), np.float64(253.89822595454658), np.float64(54.80359502613294))]",-1.0007035397520196,0.7472162261561492,6,0,0,1.4353645683172886,658.3791856888373
196,20.271946845114392,3401966.7210798925,0,81.0,-533308.4897319996,10.0,1162.7204480216044,0.0,0,100.0,"[(np.float64(447.31653498198904), np.float64(807.3651265154032), np.float64(111.80243676501345)), (np.float64(2409.37265999963), np.float64(236.42418348615143), np.float64(111.72559641042525)), (np.float64(957.8348080946292), np.float64(1861.603045202776), np.float64(30.0)), (np.float64(2406.806797192), np.float64(1515.2812076492817), np.float64(150.0)), (np.float64(1743.3240417193026), np.float64(1769.9174942912875), np.float64(30.0)), (np.float64(2071.1727065294685), np.float64(246.20902441792396), np.float64(50.39693502368685))]",-1.0007035397520196,0.7467425348875721,6,0,0,1.4210738057318415,664.9835863865376
197,20.271080075793783,3401904.67171881,0,81.0,-536568.7944037183,10.0,1162.7204480216044,0.0,0,100.0,"[(np.float64(450.4890352060301), np.float64(809.4133959744612), np.float64(100.6105250727018)), (np.float64(2406.110409043855), np.float64(234.83409564091318), np.float64(112.93777771376223)), (np.float64(957.4155408264787), np.float64(1859.9167277806068), np.float64(30.0)), (np.float64(2409.2751530340147), np.float64(1507.5690352245763), np.float64(150.0)), (np.float64(1752.219112262008), np.float64(1766.6338843842295), np.float64(30.0)), (np.float64(2074.5545922398646), np.float64(245.7708802883795), np.float64(45.432559604344256))]",-1.0007035397520196,0.7462733459976243,6,0,0,1.4075666698431681,671.3525832685291
198,20.263848715643267,3424879.972484109,30,80.66666666666666,-539849.2743762024,10.0,1162.7204480216044,0.0,106.66666666666667,5.511811023622048,"[(np.float64(443.73667756182255), np.float64(813.314341929819), np.float64(98.53642719774255)), (np.float64(2392.9750733606647), np.float64(230.07854506057436), np.float64(105.33466401122588)), (np.float64(960.5054088656415), np.float64(1863.958127546404), np.float64(30.0)), (np.float64(2411.173023560016), np.float64(1494.9764354186748), np.float64(150.0)), (np.float64(1756.9708430316082), np.float64(1765.9085186314992), np.float64(30.0)), (np.float64(2064.7079977149383), np.float64(235.2429037432369), np.float64(57.58092609456112))]",-1.0007035397520196,0.7457941271802403,6,0,0,1.4376564521522024,661.7405336915178
199,21.341260192581093,3557441.714441112,131,86.0,-543254.6660906435,10.0,1162.7204480216044,0.0,109.92366412213741,-312.59842519685037,"[(np.float64(449.39901657297014), np.float64(814.9175958668394), np.float64(91.35842063666246)), (np.float64(2393.5375056468497), np.float64(229.23614721109598), np.float64(104.83694589908055)), (np.float64(972.20262834766), np.float64(1852.5722785064156), np.float64(30.0)), (np.float64(2412.824621808312), np.float64(1494.7041249320675), np.float64(150.0)), (np.float64(1763.7270277665968), np.float64(1762.7048041193118), np.float64(30.0)), (np.float64(2071.9787319193083), np.float64(230.38426817748748), np.float64(55.45645427072619))]",-1.0007035397520196,0.7453253907721403,6,0,0,1.4062092242999684,702.724912434954
