controller,steps,avg_sinr,avg_throughput,total_handovers,avg_coverage,final_regret,avg_outage_prob,avg_pingpong,avg_cell_edge_rate,avg_fleet_soc,avg_fleet_efficiency,total_energy_used_wh,drone_ho_reduction_final,total_pg_updates,metrics_path,summary_path,figure_path,throughput_vs_first_pct,handovers_vs_first_pct,outage_vs_first_pct,efficiency_vs_first_pct
actor_critic,1,34.14787064472208,375374.4852229965,0,100.0,-240.024485222998,0.0,0.0,1162.7204480216044,0.7540253715657418,73.69911070581942,1.414816126559962,0.0,0,C:\Users\jasme\OneDrive\Desktop\Proj-2\results\logs\metrics_default_actor_critic.csv,C:\Users\jasme\OneDrive\Desktop\Proj-2\results\logs\summary_default_actor_critic.json,,0.0,0.0,0.0,0.0
soft_actor_critic,1,33.90775993020362,380234.2839279595,0,99.66666666666667,-244.73428392796063,0.0,0.0,1145.2255364148537,0.7361211379826603,74.40773348570612,1.4194846352190416,0.0,0,C:\Users\jasme\OneDrive\Desktop\Proj-2\results\logs\metrics_default_soft_actor_critic.csv,C:\Users\jasme\OneDrive\Desktop\Proj-2\results\logs\summary_default_soft_actor_critic.json,,1.2946534450992242,0.0,0.0,0.9615079111541321
